Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2013-01-01,5937.65,5963.9,5935.2,5950.85,77902745.0,3298.74
2013-01-02,5982.6,6006.05,5982.0,5993.25,116057389.0,4992.9
2013-01-03,6015.8,6017.0,5986.55,6009.5,99989933.0,4883.13
2013-01-04,6011.95,6020.75,5981.55,6016.15,113232990.0,5191.38
2013-01-07,6042.15,6042.15,5977.15,5988.4,110248018.0,5093.62
2013-01-08,5983.45,6007.05,5964.4,6001.7,109937502.0,5247.74
2013-01-09,6006.2,6020.1,5958.45,5971.5,129635568.0,6462.35
2013-01-10,5998.8,6005.15,5947.3,5968.65,129767384.0,6191.88
2013-01-11,6012.4,6018.85,5940.6,5951.3,128022002.0,8228.71
2013-01-14,5967.2,6036.9,5962.15,6024.05,134711348.0,7279.83
2013-01-15,6037.85,6068.5,6018.6,6056.6,138364003.0,6978.26
2013-01-16,6049.0,6055.95,5992.05,6001.85,128985952.0,6172.67
2013-01-17,6001.25,6053.2,5988.1,6039.2,178954867.0,7569.17
2013-01-18,6059.85,6083.4,6048.3,6064.4,186460701.0,8321.15
2013-01-21,6085.75,6094.35,6065.1,6082.3,130866385.0,6065.99
2013-01-22,6080.15,6101.3,6040.5,6048.5,129041713.0,5744.09
2013-01-23,6052.85,6069.8,6021.15,6054.3,136989190.0,5932.29
2013-01-24,6046.2,6065.3,6007.85,6019.35,185210189.0,7884.14
2013-01-25,6024.5,6080.55,6014.45,6074.65,147587200.0,6384.65
2013-01-28,6082.1,6088.4,6061.4,6074.8,113113004.0,5592.39
2013-01-29,6064.7,6111.8,6042.45,6049.9,157553752.0,8261.34
2013-01-30,6065.0,6071.95,6044.15,6055.75,124222858.0,6220.8
2013-01-31,6045.65,6058.05,6025.15,6034.75,168516750.0,8753.14
2013-02-01,6040.95,6052.95,5983.2,5998.9,159271140.0,6189.27
2013-02-04,6025.2,6038.5,5981.25,5987.25,141741868.0,6166.05
2013-02-05,5948.2,5970.35,5946.9,5956.9,136227506.0,5332.28
2013-02-06,5988.05,5990.9,5953.15,5959.2,157815926.0,5865.83
2013-02-07,5936.45,5978.5,5927.6,5938.8,157647191.0,5555.4
2013-02-08,5929.1,5953.7,5883.65,5903.5,192607376.0,6761.75
2013-02-11,5920.05,5924.15,5879.1,5897.85,121958667.0,5506.43
2013-02-12,5894.35,5927.65,5886.45,5922.5,142844560.0,4844.11
2013-02-13,5943.15,5969.5,5922.95,5932.95,142636632.0,5714.83
2013-02-14,5933.2,5940.2,5884.55,5896.95,143830565.0,7125.55
2013-02-15,5869.95,5899.95,5853.9,5887.4,125091945.0,5187.91
2013-02-18,5888.65,5911.0,5878.45,5898.2,114284193.0,4187.19
2013-02-19,5900.2,5947.55,5883.15,5939.7,100984778.0,3743.8
2013-02-20,5966.3,5971.0,5937.55,5943.05,135354164.0,5330.7
2013-02-21,5909.65,5921.15,5844.4,5852.25,159401234.0,6407.29
2013-02-22,5837.95,5873.8,5835.8,5850.3,157046865.0,5487.58
2013-02-25,5870.55,5878.4,5825.0,5854.75,125128736.0,4851.54
2013-02-26,5838.3,5838.85,5748.6,5761.35,157360222.0,5842.04
2013-02-27,5784.9,5818.2,5749.7,5796.9,175165933.0,6202.31
2013-02-28,5834.35,5849.9,5671.9,5693.05,334852895.0,12964.2
2013-03-01,5702.45,5739.45,5679.9,5719.7,174517984.0,6877.59
2013-03-04,5704.7,5712.0,5663.6,5698.5,144887325.0,5778.72
2013-03-05,5722.45,5790.1,5722.4,5784.25,154406134.0,6321.31
2013-03-06,5816.4,5828.7,5795.05,5818.6,156901392.0,6244.47
2013-03-07,5801.3,5878.0,5801.3,5863.3,134679762.0,5676.89
2013-03-08,5883.65,5952.85,5883.0,5945.7,150781148.0,6214.19
2013-03-11,5946.1,5971.2,5930.35,5942.35,125384918.0,5688.38
2013-03-12,5944.6,5952.0,5893.65,5914.1,115944389.0,5098.38
2013-03-13,5884.8,5893.85,5842.25,5851.2,116710808.0,4950.09
2013-03-14,5845.95,5920.15,5791.75,5908.95,149008437.0,7204.09
2013-03-15,5914.9,5945.65,5861.0,5872.6,152156666.0,6984.19
2013-03-18,5816.75,5850.2,5814.35,5835.25,102663402.0,4690.01
2013-03-19,5859.5,5863.6,5724.3,5745.95,182311867.0,8255.03
2013-03-20,5740.55,5745.3,5682.3,5694.4,187624850.0,7103.68
2013-03-21,5705.9,5757.75,5647.95,5658.75,179177573.0,7053.93
2013-03-22,5659.8,5691.45,5631.8,5651.35,165293291.0,5909.38
2013-03-25,5707.3,5718.4,5624.4,5633.85,150388821.0,5683.44
2013-03-26,5613.75,5655.3,5612.05,5641.6,126500524.0,4939.19
2013-03-28,5647.75,5692.95,5604.85,5682.55,209658945.0,8372.35
2013-04-01,5697.35,5720.95,5675.9,5704.4,97779717.0,3683.38
2013-04-02,5701.7,5754.6,5687.15,5748.1,106423845.0,4262.15
2013-04-03,5740.2,5744.95,5650.1,5672.9,140713330.0,5313.95
2013-04-04,5640.65,5644.45,5565.65,5574.75,134586976.0,5000.44
2013-04-05,5568.1,5577.3,5534.7,5553.25,137461477.0,5281.57
2013-04-08,5550.5,5569.2,5537.05,5542.95,97021471.0,3673.21
2013-04-09,5568.75,5603.05,5487.0,5495.1,138184712.0,5485.91
2013-04-10,5536.25,5569.25,5477.2,5558.7,128558760.0,5387.08
2013-04-11,5601.65,5610.65,5542.85,5594.0,146828501.0,6469.38
2013-04-12,5520.7,5544.5,5494.9,5528.55,127323273.0,7447.27
2013-04-15,5508.5,5592.85,5500.3,5568.4,142918219.0,7133.92
2013-04-16,5562.45,5699.25,5555.85,5688.95,142679244.0,5943.06
2013-04-17,5708.65,5732.15,5669.0,5688.7,154575403.0,7304.1
2013-04-18,5682.7,5794.35,5681.85,5783.1,149883469.0,6588.7
2013-04-22,5789.85,5844.85,5789.8,5834.4,135095797.0,6073.25
2013-04-23,5843.1,5844.3,5791.55,5836.9,132218357.0,5366.87
2013-04-25,5856.1,5924.6,5853.3,5916.3,199597725.0,9211.66
2013-04-26,5899.75,5907.05,5860.5,5871.45,141311877.0,6840.01
2013-04-29,5877.6,5918.65,5868.8,5904.1,118882089.0,5364.86
2013-04-30,5932.6,5962.3,5867.8,5930.2,153186197.0,6699.02
2013-05-02,5911.4,6019.45,5910.95,5999.35,162376438.0,7277.43
2013-05-03,5993.5,6000.3,5930.15,5944.0,145754275.0,6590.91
2013-05-06,5944.9,5976.5,5928.45,5971.05,110166713.0,4612.49
