Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),EMA_20,EMA_50,SMA_20,STD_20,Upper_Band,Lower_Band,RSI,OBV,VWAP
2013-04-05,5568.1,5577.3,5534.7,5553.25,137461477.0,5281.57,5717.131147778528,5809.568220883265,5754.765,125.8279967382343,6006.4209934764685,5503.109006523532,19.556658678534745,-1003964315.0,384.2218281999109
2013-04-08,5550.5,5569.2,5537.05,5542.95,97021471.0,3673.21,5700.542467037716,5799.112604378039,5738.7474999999995,131.5445796708803,6001.83665934176,5475.658340658239,20.469407865269176,-1100985786.0,378.59764051608744
2013-04-09,5568.75,5603.05,5487.0,5495.1,138184712.0,5485.91,5680.976517796029,5787.190541461253,5716.217500000001,132.81532516499425,5981.848150329989,5450.586849670012,20.091444649608732,-1239170498.0,396.9983307560101
2013-04-10,5536.25,5569.25,5477.2,5558.7,128558760.0,5387.08,5669.331135148788,5778.230128070616,5697.035,125.96465471250629,5948.964309425012,5445.105690574987,32.75623906437053,-1110611738.0,419.0364001644073
2013-04-11,5601.65,5610.65,5542.85,5594.0,146828501.0,6469.38,5662.156741325094,5771.005417165886,5681.030000000001,116.9459134994004,5914.921826998801,5447.1381730012,40.468957660907556,-963783237.0,440.60791712366523
2013-04-12,5520.7,5544.5,5494.9,5528.55,127323273.0,7447.27,5649.432289770323,5761.497361590753,5664.897500000001,114.46391234909707,5893.825324698195,5435.969675301807,38.30188679245283,-1091106510.0,584.9103486367335
2013-04-15,5508.5,5592.85,5500.3,5568.4,142918219.0,7133.92,5641.714928839816,5753.924916038174,5647.87,100.75744376314212,5849.384887526284,5446.355112473716,42.957806265387475,-948188291.0,499.16099220352027
2013-04-16,5562.45,5699.25,5555.85,5688.95,142679244.0,5943.06,5646.213507045548,5751.376880115109,5638.6875,86.56813999295916,5811.823779985918,5465.551220014082,53.981213872832335,-805509047.0,416.53290509445094
2013-04-17,5708.65,5732.15,5669.0,5688.7,154575403.0,7304.1,5650.259839707876,5748.91896324785,5631.36,74.40196764516445,5780.1639352903285,5482.556064709671,53.44046749452151,-960084450.0,472.52666713086296
2013-04-18,5682.7,5794.35,5681.85,5783.1,149883469.0,6588.7,5662.9112835452215,5750.2593960616605,5633.217500000001,77.799525223477,5788.816550446954,5477.618449553047,56.81279219459314,-810200981.0,439.58817099436095
2013-04-22,5789.85,5844.85,5789.8,5834.4,135095797.0,6073.25,5679.243542255201,5753.559027588654,5640.2175,89.07526574253795,5818.368031485075,5462.066968514924,58.470158978368524,-675105184.0,449.55136539147844
2013-04-23,5843.1,5844.3,5791.55,5836.9,132218357.0,5366.87,5694.258442992801,5756.82730101655,5649.125,99.34187051208907,5847.808741024178,5450.441258975822,56.11401817681075,-542886827.0,405.90959695558763
2013-04-25,5856.1,5924.6,5853.3,5916.3,199597725.0,9211.66,5715.405257945868,5763.081132349234,5662.3725,115.93440576803835,5894.241311536077,5430.503688463924,66.66210295728374,-343289102.0,461.51127223519205
2013-04-26,5899.75,5907.05,5860.5,5871.45,141311877.0,6840.01,5730.266661951023,5767.330891864951,5674.2525000000005,124.70008702461342,5923.652674049227,5424.852325950774,71.90961453256536,-484600979.0,484.0364550532437
2013-04-29,5877.6,5918.65,5868.8,5904.1,118882089.0,5364.86,5746.822217955687,5772.6943863016195,5687.3775,134.51090688998917,5956.399313779978,5418.355686220021,75.48855793679625,-365718890.0,451.27571740432654
2013-04-30,5932.6,5962.3,5867.8,5930.2,153186197.0,6699.02,5764.286768626574,5778.87107703489,5699.76,145.03056538101154,5989.821130762023,5409.698869237977,77.5015978978766,-212532693.0,437.312246873
2013-05-02,5911.4,6019.45,5910.95,5999.35,162376438.0,7277.43,5786.67374304309,5787.517309308031,5714.5075,159.77390215304158,6034.055304306083,5394.959695693917,84.75908182256839,-50156255.0,448.1826359560862
2013-05-03,5993.5,6000.3,5930.15,5944.0,145754275.0,6590.91,5801.657196086606,5793.653885413599,5724.3025,167.74758722478282,6059.797674449565,5388.807325550434,76.86515130386275,-195910530.0,452.19325470899565
2013-05-06,5944.9,5976.5,5928.45,5971.05,110166713.0,4612.49,5817.789844078357,5800.610595789536,5739.21,175.98493476192021,6091.17986952384,5387.24013047616,76.59589475911685,-85743817.0,418.68272860242274
2013-05-07,5983.45,6050.5,5982.95,6043.55,136372981.0,5572.16,5839.29081130899,5810.13763124877,5762.65,183.9665759115802,6130.58315182316,5394.716848176839,85.96871071378678,50629164.0,408.5970665992848
2013-05-08,6064.15,6083.55,6024.95,6069.3,122278698.0,5159.97,5861.196448327181,5820.300861395877,5788.4525,189.16726132335586,6166.787022646712,5410.117977353289,85.68680535765169,172907862.0,421.98437539791274
2013-05-09,6078.35,6084.7,6040.45,6050.15,109997276.0,5164.76,5879.192024676973,5829.314553105843,5813.8125,188.51948306056096,6190.851466121122,5436.773533878878,80.0799467021984,62910586.0,469.5352637641681
2013-05-10,6046.25,6105.3,6045.6,6094.75,111351573.0,5162.22,5899.721355660119,5839.723786317379,5843.795,182.75976890874895,6209.314537817498,5478.275462182502,81.48894920511815,174262159.0,463.5965043798708
2013-05-11,6088.2,6114.55,6084.15,6107.25,7991165.0,355.74,5919.485988454394,5850.215010383364,5871.2225,178.84211684214532,6228.906733684291,5513.538266315709,78.79541618548444,182253324.0,445.166630897998
2013-05-13,6098.2,6104.95,5972.9,5980.45,107948706.0,4633.05,5925.29208479207,5855.322264878134,5890.545,167.85280276104297,6226.250605522086,5554.8393944779145,61.43964909532384,74304618.0,429.18995249465985
2013-05-14,5989.7,6026.2,5970.05,5995.4,119265483.0,4921.65,5931.969029097588,5860.815509392717,5913.8875,145.88630204717967,6205.660104094359,5622.114895905641,62.17732022126608,193570101.0,412.6634023693175
2013-05-15,6018.85,6157.1,6018.85,6146.75,153892843.0,7240.73,5952.4243596597225,5872.028626671434,5942.805,130.28558600648722,6203.376172012975,5682.2338279870255,65.94258042199924,347462944.0,470.5046614805862
2013-05-16,6128.25,6187.3,6128.25,6169.9,158635506.0,6733.31,5973.136325406415,5883.709856998044,5966.8525,125.25268720198014,6217.3578744039605,5716.347125596039,71.28592825048135,506098450.0,424.45163568867116
2013-05-17,6172.95,6199.95,6146.15,6187.3,147280254.0,5870.44,5993.532865843899,5895.615352802043,5991.7825,116.27432770347959,6224.33115540696,5759.233844593041,70.64741907261585,653378704.0,398.5897525679172
2013-05-20,6198.0,6229.45,6146.05,6156.9,122252978.0,5589.97,6009.091640525433,5905.8618095549045,6010.4725,110.88252374639546,6232.23754749279,5788.707452507209,66.42515577452534,531125726.0,457.2461212355907
2013-05-21,6152.35,6180.25,6102.35,6114.1,130589228.0,5122.71,6019.092436665868,5914.028013101772,6024.4575,104.98853981946152,6234.434579638923,5814.480420361077,58.64406779661015,400536498.0,392.2766125855342
2013-05-22,6127.05,6147.6,6074.45,6094.5,133763685.0,5837.19,6026.274109364357,5921.10534592131,6037.3375,96.20141271941999,6229.74032543884,5844.934674561159,61.98248407643308,266772813.0,436.38077105905086
2013-05-23,6050.4,6081.45,5955.7,5967.05,198930489.0,8230.1,6020.633717996323,5922.907097061651,6039.875,93.47135854593492,6226.81771709187,5852.93228290813,49.725425590334986,67842324.0,413.7173764248878
2013-05-24,6010.7,6015.3,5936.8,5983.55,161622562.0,6193.0,6017.101935330006,5925.285250118057,6045.48,85.89412301445739,6217.268246028914,5873.691753971085,45.53837001784653,229464886.0,383.17670029262376
2013-05-27,5989.4,6099.9,5975.55,6083.15,115115365.0,4961.15,6023.392227203339,5931.476024623231,6054.432500000001,79.473923686039,6213.380347372079,5895.4846526279225,50.927973199329955,344580251.0,430.9720079504591
2013-05-28,6086.35,6127.65,6055.4,6111.25,139668916.0,5481.14,6031.759634136354,5938.525984441928,6063.485,74.74924590361866,6212.983491807237,5913.986508192762,54.04528601694917,484249167.0,392.43807118829505
2013-05-29,6120.45,6125.05,6069.8,6104.3,120205054.0,5135.8,6038.6682404090825,5945.026926228519,6068.7325,73.68617179956813,6216.104843599136,5921.360156400864,50.66545885304161,364044113.0,427.2532501004492
2013-05-30,6072.15,6133.75,6072.15,6124.05,194092801.0,7794.82,6046.799836560598,5952.0474389254405,6077.735,68.45832981496456,6214.651659629929,5940.8183403700705,51.15894039735101,558136914.0,401.60273641473185
2013-05-31,6098.7,6106.25,5975.55,5985.95,175311989.0,7223.11,6041.004614031017,5953.376951124443,6078.4800000000005,67.307625281646,6213.095250563292,5943.864749436709,50.37359054476294,382824925.0,412.014605572697
2013-06-03,5997.35,6011.0,5916.35,5939.3,112123535.0,5702.24,6031.318460313777,5952.824913825445,6073.2675,73.87171539586802,6221.0109307917355,5925.524069208264,46.34670487106021,270701390.0,508.56762587801035
2013-06-04,5941.1,5981.6,5910.25,5919.45,114450873.0,4990.51,6020.664321236274,5951.516093675427,6065.775,81.500696638945,6228.77639327789,5902.773606722109,32.138928178532126,156250517.0,436.0394874401701
2013-06-05,5908.3,5935.2,5883.7,5923.85,110223279.0,4691.39,6011.443909689962,5950.431148825411,6059.46,87.45100523030705,6234.362010460614,5884.557989539386,30.07853615091905,266473796.0,425.62606035336694
2013-06-06,5895.0,5956.55,5869.5,5921.4,114174694.0,4961.54,6002.8682992433,5949.292672400885,6050.7925000000005,92.22927848146816,6235.251056962937,5866.333943037064,27.937271822104222,152299102.0,434.5568905137596
2013-06-07,5900.05,5972.7,5871.3,5881.0,118346364.0,4888.65,5991.261794553461,5946.614528385164,6039.4800000000005,98.59570477460785,6236.671409549216,5842.288590450785,27.481227554684992,33952738.0,413.0798644561653
2013-06-10,5907.9,5931.65,5857.4,5878.0,100130739.0,4304.75,5980.474956976941,5943.923762566138,6034.3575,104.31924593463103,6242.995991869262,5825.719008130738,29.39071229050279,-66178001.0,429.91293612643767
2013-06-11,5848.75,5868.05,5780.35,5788.8,180902123.0,6695.57,5962.220199169613,5937.840477759623,6024.027499999999,117.74508982387822,6259.517679647755,5788.537320352243,26.206413449564167,-247080124.0,370.12114003769875
2013-06-12,5771.75,5792.9,5738.6,5760.2,140394424.0,5894.04,5942.980180201078,5930.8741845141485,6004.7,127.83363160147863,6260.3672632029575,5749.032736797042,30.97231165486157,-387474548.0,419.820092000235
2013-06-13,5709.35,5729.85,5683.1,5699.1,142041404.0,5462.45,5919.753496372404,5921.785000807711,5981.16,138.6978916851159,6258.555783370231,5703.764216629768,25.818243645328607,-529515952.0,384.56744626376684
2013-06-14,5748.95,5819.4,5739.4,5808.4,124410018.0,5121.33,5909.148401479794,5917.338530187801,5962.215,134.88378145648696,6231.982562912974,5692.447437087027,27.021828217780396,-405105934.0,411.6493255390414
2013-06-17,5820.4,5854.9,5770.25,5850.05,107160887.0,4560.84,5903.519982291243,5914.699764298083,5946.8724999999995,128.89202894283764,6204.656557885674,5689.088442114325,28.63918874713775,-297945047.0,425.6067794586284
2013-06-18,5841.9,5863.4,5804.3,5813.6,117541145.0,4591.91,5894.9561744539815,5910.735067658943,5931.8475,125.85109358515791,6183.549687170315,5680.145312829684,27.320954907161834,-415486192.0,390.66405214956853
2013-06-19,5805.75,5828.4,5777.9,5822.25,115539008.0,4643.17,5888.031776886935,5907.265065005651,5918.235,121.99681413010711,6162.228628260214,5674.241371739786,26.04001270244521,-299947184.0,401.87033629369574
2013-06-20,5754.15,5755.0,5645.65,5655.9,198400131.0,7148.0,5865.923988611989,5897.407611476018,5902.6775,134.62956240131484,6171.936624802629,5633.418375197371,24.9221183800623,-498347315.0,360.2820201766903
2013-06-21,5639.9,5686.15,5616.85,5667.65,182410583.0,6697.18,5847.040751601324,5888.397509065194,5886.882500000001,142.91793493120812,6172.718369862417,5601.0466301375845,28.203482307630566,-315936732.0,367.1486538694962
2013-06-24,5638.05,5640.0,5566.25,5590.25,193488581.0,6308.88,5822.584489544055,5876.705449886167,5862.2375,149.6324574934437,6161.502414986888,5562.972585013113,25.81900984280888,-509425313.0,326.0595518037315
2013-06-25,5606.95,5666.25,5570.25,5609.1,196571543.0,6792.49,5802.252633397003,5866.211118518082,5837.129999999999,147.76781431478642,6132.665628629572,5541.594371370426,27.361001222757665,-312853770.0,345.54798198842036
2013-06-26,5627.95,5635.25,5579.35,5588.7,160095940.0,5939.3,5781.914287359193,5855.328329556589,5811.35,143.621707053087,6098.593414106174,5524.106585893826,26.672275978123693,-472949710.0,370.9837988396208
2013-06-27,5647.95,5699.35,5630.95,5682.35,239029425.0,9184.29,5772.431974277365,5848.5448656524095,5789.265,125.8699131099895,6041.004826219979,5537.525173780022,37.03921184837219,-233920285.0,384.2326106921774
2013-06-28,5749.5,5852.95,5749.5,5842.2,214402430.0,8753.33,5779.076548155711,5848.296047391531,5782.077499999999,117.89946372250009,6017.8764274449995,5546.278572554999,48.0610918544194,-19517855.0,408.2663615333091
2013-07-01,5834.1,5904.35,5822.2,5898.85,144794030.0,5405.72,5790.483543569453,5850.278555336961,5780.055,115.38048715354753,6010.8159743070955,5549.294025692905,56.178072194464725,125276175.0,373.338596902096
2013-07-02,5885.5,5898.8,5852.3,5857.55,145721790.0,5163.09,5796.870825134267,5850.56371002963,5776.96,112.23176396237264,6001.423527924745,5552.496472075255,55.38827696905964,-20445615.0,354.3114588422226
2013-07-03,5811.95,5815.0,5760.4,5770.9,160523863.0,5219.24,5794.397413216718,5847.439642969644,5769.3125,106.77417743586552,5982.860854871731,5555.764145128269,53.864786306383856,-180969478.0,325.1379516078553
2013-07-04,5794.75,5848.2,5786.05,5836.95,151929179.0,5429.87,5798.450040529411,5847.028284421815,5765.089999999999,102.00655500093272,5969.1031100018645,5561.076889998134,51.61181053463559,-29040299.0,357.39480959085546
2013-07-05,5889.95,5900.45,5858.45,5867.9,123586417.0,4303.93,5805.064322383753,5847.84678307194,5764.4349999999995,101.26245095633732,5966.9599019126745,5561.9100980873245,51.02005828904505,94546118.0,348.25267245995167
2013-07-08,5833.15,5833.85,5775.55,5811.55,127624733.0,4823.52,5805.682005966253,5846.423379814217,5761.1125,98.38956656684147,5957.891633133683,5564.333366866317,49.88545566296027,-33078615.0,377.9455507264411
2013-07-09,5834.6,5864.95,5834.6,5859.0,110427867.0,4661.55,5810.7599101599435,5846.916580605816,5764.6225,100.65537671601308,5965.9332534320265,5563.311746567974,51.968082257805385,77349252.0,422.13529307778805
2013-07-10,5869.9,5879.35,5802.85,5816.7,117516350.0,4820.53,5811.325633001854,5845.7316166604905,5767.4475,101.31542392449634,5970.078347848993,5564.8166521510075,59.93083003952569,-40167098.0,410.2007933364166
2013-07-11,5894.5,5948.85,5887.95,5935.1,120195681.0,4882.29,5823.113667954059,5849.236259144393,5779.2474999999995,106.54444769919616,5992.336395398392,5566.158604601607,64.59481582537518,80028583.0,406.1951277600399
